userid,orderid,rating,tags,commentsKeyWords
100000006981,1000355,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['非常','好']"
100000007073,1000362,5.0,,"['非常','负责','还']"
100000007609,1000391,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['感谢','好','好','中']"
100000008119,1000418,5.0,主动热情|提前联系|耐心等候,
100000008253,1000427,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['非常','棒']"
100000008483,1000446,4.0,,"['希望','很','好','谢谢']"
100000008995,1000460,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['非常','非常']"
100000009017,1000465,5.0,主动热情|提前联系|行程安排有惊喜|景点介绍详尽,"['非常','负责','谢谢']"
100000009249,1000481,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|提前联系|耐心等候,"['很','很','顺利','超级','好']"
100000009463,1000486,5.0,主动热情|提前联系|耐心等候,"['很','很','舒服']"
100000009583,1000492,1.0,非订单车辆,
100000009611,1000493,5.0,主动热情,
100000009773,1000504,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['绝对','很','好','还','很','关照','满足','名副其实']"
100000010199,1000594,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|耐心等候,"['长','很','热情','厚道','很','舒适','会','小','会','会']"
100000010279,1000599,5.0,举牌迎接|主动搬运行李,
100000010297,1000603,5.0,,"['还','不错','可能','熟悉','上','担心','关键','不错']"
100000011325,1000607,5.0,,['谢谢']
100000011653,1000618,5.0,,
100000011763,1000626,5.0,主动热情|提前联系|耐心等候|主动搬运行李,"['非常','好','很','顺利','祝','顺利','健康','快乐']"
100000011845,1000634,5.0,,
100000012027,1000639,5.0,驾驶平稳|耐心等候,
100000012137,1000642,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,"['非常','好','还','热情']"
100000012219,1000657,5.0,,
100000012405,1000671,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,"['非常','满意','完美']"
100000012931,1000688,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,"['主动','还','热情','还','好吃','好玩','陌生']"
100000012965,1000692,5.0,主动热情|提前联系|耐心等候,['满意']
100000013381,1000718,5.0,驾驶平稳|提前联系|主动搬运行李|耐心等候,
100000013429,1000720,5.0,主动热情|车辆物资齐全|提前联系|耐心等候|主动搬运行李,[]
100000013837,1000742,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
100000013965,1000746,5.0,主动热情|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候,
100000014259,1000764,5.0,,
100000014271,1000769,5.0,主动热情|提前联系|举牌迎接|耐心等候,
100000014315,1000781,5.0,,
100000014383,1000792,5.0,,
100000014679,1000810,5.0,,
100000014973,1000829,5.0,,
100000014981,1000833,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|提前联系|耐心等候|主动搬运行李,
100000015129,1000851,5.0,耐心等候,"['非常','不错','主动','热情']"
100000015223,1000856,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['挺','好']"
100000015475,1000863,5.0,主动热情|提前联系|耐心等候|路线熟悉,
100000015791,1000885,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,['good']
100000015969,1000890,5.0,,
100000016219,1000899,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李|耐心等候,
100000016265,1000900,5.0,主动热情|提前联系|耐心等候|主动搬运行李,"['按时','欢乐']"
100000016341,1000927,5.0,,
100000016831,1000971,5.0,提前联系|耐心等候,"['非常','好','非常','还','定','一定']"
100000016861,1000980,5.0,主动热情|提前联系|举牌迎接|耐心等候,
100000017277,1001004,5.0,,"['非常','负责','非常热心']"
100000017367,1001014,5.0,,
100000017469,1001020,1.0,司导态度差,
100000017965,1001039,5.0,,
100000018117,1001051,5.0,主动热情|车辆物资齐全|提前联系|耐心等候|主动搬运行李,"['非常','好','热情']"
100000018259,1001062,5.0,主动热情|提前联系|耐心等候,"['非常','准时','热情','娴熟','熟悉','特别','满意']"
100000018629,1001070,5.0,驾驶平稳|干净整洁|主动搬运行李,
100000018905,1001090,5.0,主动热情|提前联系|耐心等候|主动搬运行李,"['非常','好','谢谢']"
100000019251,1001100,5.0,,"['准时','还','开心']"
100000019375,1001103,5.0,主动热情|普通话流利|车辆物资齐全|提前联系|耐心等候|主动搬运行李,
100000019487,1001112,5.0,主动热情|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候,
100000019489,1001124,5.0,耐心等候,
100000019507,1001129,5.0,主动热情|文明礼貌|驾驶平稳|干净整洁|提前联系|主动搬运行李,"['很','平稳','很','干净','很','新','很','好','热情','好']"
100000019641,1001131,5.0,,"['非常','好','还','主动']"
100000019697,1001133,5.0,,
100000019829,1001135,5.0,,
100000020007,1001171,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,
100000020017,1001175,5.0,主动热情,
100000020213,1001180,5.0,主动热情|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,"['非常','好']"
100000020393,1001192,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,"['非常','好','着想']"
100000020459,1001196,5.0,主动热情|提前联系|耐心等候,
100000020809,1001211,5.0,,
100000020811,1001215,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,"['非常','准时','干净','整洁','非常']"
100000021111,1001228,5.0,主动热情|文明礼貌|普通话流利|干净整洁|提前联系|主动搬运行李|耐心等候,
100000021175,1001232,5.0,,
100000021395,1001234,5.0,,"['非常','好','会']"
100000021453,1001240,5.0,主动热情|提前联系,
100000021659,1001245,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁,"['非常','好','亲切']"
100000022129,1001260,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,
100000022335,1001265,5.0,,
100000022481,1001272,5.0,耐心等候,
100000022571,1001280,5.0,主动热情|提前联系|耐心等候,
100000022651,1001284,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['很','好','很','好','非常','不错']"
100000022761,1001289,5.0,,
100000022801,1001296,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['超级','好','讲','经济','好']"
100000022931,1001301,5.0,,
100000023443,1001321,5.0,,
100000023915,1001333,5.0,,
110020371225,1001336,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|提前联系|行程安排有惊喜|路线熟悉,"['非常','棒','非常','好','热情']"
110020673328,1001356,5.0,,"['主动','干净','整洁','不错']"
110100014369,1001367,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李|耐心等候,"['非常','棒','很','热情']"
110100016828,1001381,5.0,主动热情|提前联系|耐心等候,"['非常','非常','好','很','好','热情','很','开心','说','祝']"
110100018468,1001392,5.0,提前联系|主动搬运行李|耐心等候,"['很','热情','很']"
110100116423,1001415,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,
110100135562,1001429,5.0,文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|提前联系|耐心等候,"['非常','好','特别','特别','非常','赞']"
110100171021,1001434,4.0,驾驶平稳|普通话流利|提前联系|主动搬运行李|耐心等候,
110100173725,1001439,5.0,主动热情|提前联系|耐心等候,"['热情','细致','很','详细','还','注意']"
110100218568,1001447,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['非常','好']"
110100273229,1001456,5.0,主动热情|提前联系|举牌迎接|耐心等候,
110100273825,1001463,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李|耐心等候,"['标准','娴熟']"
110100318867,1001470,5.0,,"['非常','满意']"
110100333066,1001474,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110100333868,1001476,5.0,,
110100335665,1001482,5.0,主动热情|文明礼貌|普通话流利|提前联系|耐心等候,"['很','好','很','好','很','好','很','好']"
110100418369,1001502,5.0,,
110100471223,1001510,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李,"['很','不错','稳定','还','很','好','还','很','还','怕','很','一定']"
110100512625,1001526,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,
110100512728,1001528,5.0,主动热情|提前联系,
110100514164,1001533,5.0,提前联系|举牌迎接|主动搬运行李,"['很','不错','辛苦']"
110100516727,1001545,5.0,主动热情|文明礼貌|驾驶平稳|干净整洁|提前联系|主动搬运行李|耐心等候,
110100516927,1001552,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110100518264,1001558,5.0,,"['很','很','好']"
110100518665,1001562,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['特别','热心']"
110100573022,1001574,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['热心','很','顺利']"
110100573527,1001578,5.0,主动热情|提前联系|主动搬运行李|耐心等候,
110100614366,1001588,5.0,耐心等候|主动搬运行李,"['很','满意','聊','开心']"
110100618264,1001595,5.0,主动热情|提前联系|耐心等候,"['非常','热情','友好','相当','好']"
110100633862,1001610,5.0,,"['很','热情','很','新','平稳']"
110100712727,1001631,5.0,主动热情|提前联系|耐心等候,"['很','热情','幽默','生动']"
110100735566,1001643,5.0,,[]
110100773229,1001646,5.0,,
110100816923,1001653,5.0,主动热情|提前联系|举牌迎接|主动搬运行李,"['特别','详细','好玩']"
110100818564,1001658,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|景点介绍详尽|耐心等候|路线熟悉,
110100818565,1001659,5.0,,['主动']
110100835863,1001673,5.0,主动热情|耐心等候|主动搬运行李,
110100935462,1001693,5.0,耐心等候,"['非常','棒','很','热情','极其','周到']"
110101014163,1001716,5.0,主动热情|耐心等候,
110101016424,1001721,5.0,,
110101016824,1001726,5.0,文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|举牌迎接|主动搬运行李|耐心等候,
110101018565,1001742,5.0,主动热情,
110101018862,1001747,5.0,,"['非常','好','很','开心','谢谢']"
110101073020,1001760,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['很','不错','依然','非常','不错']"
110101073129,1001765,5.0,,"['非常','好','非常','好','非常','好','非常','好','非常','好','非常','好','非常','好','非常','好']"
110101073528,1001769,5.0,提前联系|举牌迎接,
110101112925,1001781,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['很','好','准时']"
110101114365,1001790,5.0,,
110101118767,1001799,5.0,主动热情|提前联系|举牌迎接|耐心等候,
110101118860,1001803,5.0,主动热情|提前联系,
110101173321,1001825,5.0,主动热情|提前联系|耐心等候,"['非常','热情','有礼','周到']"
110101173327,1001831,5.0,主动热情|提前联系|耐心等候,"['很','满意','很','好','礼貌']"
110101173728,1001837,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|提前联系|耐心等候|主动搬运行李,['赞']
110101210169,1001848,4.0,,
110101210461,1001851,5.0,,"['舒适','安全']"
110101212820,1001873,5.0,,
110101212927,1001877,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110101216163,1001888,5.0,主动热情|提前联系|耐心等候|主动搬运行李,"['超级','满意','超级','温柔','很','可爱']"
110101216425,1001896,5.0,,
110101216628,1001904,5.0,主动热情|提前联系,
110101217229,1001916,5.0,主动热情|提前联系|耐心等候,"['依然','热情','清楚','整洁']"
110101217621,1001919,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110101235761,1001943,5.0,,
110101273028,1001949,5.0,主动热情|提前联系|耐心等候,"['很','好','不厌其烦','主动','热情','赞扬','谢谢']"
110101273529,1001955,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110101273620,1001958,5.0,主动热情|提前联系|耐心等候,"['好','热情','麻烦','有用','最','重要','系','便宜']"
110101312828,1001984,5.0,主动热情|提前联系|耐心等候,
110101333767,1002010,4.0,举牌迎接,"['说好','好','快','小','胆战心惊']"
110101373529,1002031,5.0,,
110101410923,1002048,5.0,文明礼貌|驾驶平稳|普通话流利|干净整洁|主动搬运行李,
110101414569,1002060,5.0,,"['超级','棒','主动','热情','热心','非常','赞']"
110101416126,1002066,5.0,,"['不错','准时','安全']"
110101416320,1002069,5.0,主动热情|提前联系|耐心等候,"['好','很','满意']"
110101416823,1002078,5.0,主动热情|文明礼貌|驾驶平稳|干净整洁|提前联系|耐心等候,
110101416924,1002082,5.0,,
110101435960,1002101,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,
110101471028,1002103,5.0,主动热情|提前联系,
110101473121,1002111,5.0,文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|耐心等候|主动搬运行李,
110101473429,1002116,5.0,提前联系,"['不错','安全','小']"
110101512325,1002124,5.0,主动热情|提前联系|主动搬运行李|耐心等候,
110101514562,1002134,5.0,主动热情|提前联系|主动搬运行李|耐心等候,"['非常','满意','非常','熟悉','稳']"
110101516321,1002139,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李,
110101518268,1002150,5.0,,
110101518767,1002160,5.0,主动热情|提前联系,
110101535067,1002169,5.0,,"['非常','满意','非常','满意','非常','满意','非常','满意','非常','满意','非常','满意']"
110101535960,1002174,5.0,,
110101571523,1002185,5.0,主动热情|提前联系,
110101610321,1002197,5.0,文明礼貌|驾驶平稳|干净整洁|主动搬运行李|耐心等候,"['很','热情','好玩','好吃']"
110101612364,1002216,5.0,主动热情|文明礼貌|提前联系|耐心等候,['很']
110101612421,1002219,5.0,,"['非常','亲切','非常','担心','准确','很','好']"
110101612425,1002221,5.0,,
110101614364,1002231,5.0,,"['很','热心','很','干净','整洁','赞']"
110101615825,1002237,5.0,,
110101616129,1002252,5.0,,"['很','热情','很','方便','希望','还']"
110101616464,1002259,5.0,提前联系|耐心等候,"['非常','干净','舒适','非常','满意','一流']"
110101616522,1002262,5.0,主动热情|提前联系|耐心等候,
110101616528,1002263,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,['非常']
110101616663,1002270,5.0,,
110101617728,1002285,5.0,主动热情|提前联系,"['非常','满意','热情','干净','好']"
110101635063,1002299,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李|耐心等候,
110101710127,1002323,5.0,,
110101710128,1002328,5.0,主动热情|提前联系|行程安排有惊喜|景点介绍详尽,"['小','非常','热情','仔细','非常','合理','非常','愉快','满意']"
110101714169,1002344,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,['小']
110101714560,1002350,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,
110101718169,1002367,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['非常','一流','有用','很','愉快','特别','齐']"
110101733868,1002377,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['很','辛苦','很','很']"
110101735766,1002381,5.0,主动热情|提前联系,"['好','热情','友善','干净','整洁']"
110101773227,1002396,5.0,主动热情|文明礼貌|驾驶平稳|干净整洁|提前联系|举牌迎接|主动搬运行李|耐心等候,"['好','礼貌','还']"
110101810167,1002406,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['热情','大方','礼貌','非常','周到']"
110101812321,1002426,5.0,主动热情|提前联系|举牌迎接|耐心等候,
110101814067,1002432,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|主动搬运行李|耐心等候,"['很','不错']"
110101814967,1002445,5.0,耐心等候,
110101816027,1002448,5.0,,"['很','好']"
110101816420,1002456,5.0,,
110101912822,1002501,5.0,,"['非常','满意','好']"
110101916723,1002514,5.0,主动热情|提前联系|耐心等候,"['非常热心','热情','顺利','还','热情','非常','满意']"
110101935266,1002529,5.0,主动热情|提前联系|耐心等候,"['非常','好','好']"
110101973024,1002533,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,
110102012123,1002551,5.0,,
110102016429,1002574,5.0,主动热情|提前联系|耐心等候,
110102112420,1002600,5.0,,"['主动','中肯','按时','还']"
110102116724,1002621,5.0,,
110102173926,1002636,5.0,,
110102212724,1002637,5.0,,['非常热心']
110102235466,1002656,5.0,主动热情|提前联系|行程安排有惊喜|景点介绍详尽,"['很','满意','下','方便','很','准时']"
110102333864,1002704,5.0,主动热情|提前联系|耐心等候,"['很','好','很','热情','满意']"
110102335262,1002709,5.0,主动搬运行李|耐心等候,['还']
110102373022,1002716,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['非常','棒']"
110102373628,1002722,5.0,文明礼貌|干净整洁|车辆物资齐全|提前联系|主动搬运行李,
110102416120,1002729,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['非常','满意','会','详细','会','更','好']"
110102416820,1002734,5.0,主动热情|提前联系|耐心等候,
110102416920,1002737,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,
110102471529,1002756,5.0,,
110102516029,1002781,5.0,提前联系|耐心等候,"['远','很','不好意思','玩','很','好']"
110102516928,1002796,5.0,,
110102573423,1002816,5.0,,
110102614267,1002825,5.0,主动热情|驾驶平稳|普通话流利|仪表整洁|车辆物资齐全|提前联系|行程安排有惊喜|景点介绍详尽|耐心等候|路线熟悉,"['热情','一流','非常','好']"
110102614369,1002828,5.0,主动热情|提前联系,
110102635664,1002845,5.0,主动热情|驾驶平稳|普通话流利|车辆物资齐全|提前联系|主动搬运行李|耐心等候,
110102673920,1002861,5.0,,['Good']
110102716828,1002884,5.0,驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李,"['非常','热情','非常','舒适']"
110102718168,1002887,5.0,主动热情|提前联系|举牌迎接|耐心等候,
110102718666,1002894,5.0,主动热情|提前联系,
110102733061,1002898,5.0,提前联系,
110102735661,1002907,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['白','很','热情','主动','优良']"
110102771220,1002914,5.0,,
110102773026,1002915,5.0,,
110102773628,1002927,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|举牌迎接|主动搬运行李|耐心等候,"['超级','好','谢谢','还']"
110102773720,1002931,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['很','好','温和']"
110102773820,1002932,5.0,,
110102816326,1002952,5.0,,
110102833063,1002964,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['很','热情','很','周到','非常','满意']"
110102873229,1002979,5.0,,
110102912724,1003001,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110102912923,1003002,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110102916021,1003005,5.0,,
110102973524,1003037,5.0,,"['非常','非常','周到','有求必应']"
110102973622,1003040,5.0,提前联系|耐心等候,
110103012626,1003052,5.0,主动热情|文明礼貌|驾驶平稳|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,
110103012925,1003059,5.0,主动热情|提前联系|耐心等候,
110103014161,1003062,5.0,,
110103014162,1003067,5.0,,
110103016325,1003075,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['非常','棒']"
110103035263,1003093,5.0,,
110103035961,1003102,5.0,,"['下','仔细','非常','准时','仔细','清楚','主动','热情','积极','热点']"
110103073023,1003107,5.0,主动热情|提前联系|耐心等候,
110103112124,1003114,5.0,耐心等候|主动搬运行李,"['非常','好','很','很','准时','平稳']"
110103116726,1003132,2.0,私聊不回复|车辆和订单显示不符,
110103135866,1003154,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['五星级','还','关注','一定']"
110103173229,1003161,5.0,主动热情|提前联系|耐心等候,"['非常','方便','很','舒服']"
110103173522,1003167,5.0,主动热情|提前联系|耐心等候|主动搬运行李,
110103212628,1003184,5.0,主动热情|提前联系|举牌迎接|耐心等候,"['非常','满意','热心','非常','干净','非常','亲切','非常','棒']"
110103214160,1003188,5.0,主动热情|普通话流利|提前联系|耐心等候|主动搬运行李,"['很','不错']"
110103216629,1003196,5.0,提前联系,
110103218165,1003200,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['特别','特别','棒','非常','满意']"
110103218468,1003207,5.0,主动热情|提前联系|耐心等候,"['很','好','很','准时']"
110103218861,1003211,5.0,主动热情|提前联系|耐心等候,
110103235063,1003217,5.0,,
110103235860,1003226,5.0,主动热情|提前联系|主动搬运行李|耐心等候,
110103310120,1003245,5.0,主动热情|提前联系|耐心等候,"['很','远','注意','难']"
110103314461,1003259,5.0,主动热情|提前联系|主动搬运行李|耐心等候,
110103318069,1003272,2.0,,"['主动','满意']"
110103318768,1003280,5.0,主动热情|提前联系|耐心等候|主动搬运行李,"['细心','周到','还','谢谢','辛苦']"
110103318964,1003292,5.0,,
110103333069,1003295,5.0,,
110103335168,1003301,5.0,,"['和蔼可亲','还','很','开心']"
110103335262,1003302,5.0,主动热情,
110103335461,1003305,5.0,,
110103335561,1003308,5.0,,"['干净','很','整齐','小','特别','齐全']"
110103371223,1003317,5.0,文明礼貌|驾驶平稳|普通话流利|干净整洁|提前联系|主动搬运行李|耐心等候,"['好','安全','很','很','顺利','谢谢']"
110103371520,1003319,5.0,,['不错']
110103371528,1003322,5.0,普通话流利|干净整洁|提前联系,
110103414267,1003339,5.0,主动热情|提前联系|举牌迎接|耐心等候,
110103416726,1003353,5.0,提前联系,"['非常','很','守时','很','很','舒适']"
110103416923,1003357,5.0,,
110103418169,1003360,5.0,,"['齐','很','顺利']"
110103418563,1003366,5.0,,"['很','热情','很','很','细心']"
110103418663,1003370,4.0,,
110103435368,1003379,5.0,,"['很','好','超级','nice','很','亲切']"
110103512529,1003405,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|耐心等候|主动搬运行李,"['高','感谢']"
110103518964,1003421,5.0,,"['非常','好','准时']"
110103533864,1003425,5.0,,
110103535666,1003433,5.0,主动热情|提前联系|耐心等候,
110103612721,1003460,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['非常','好','非常','很','热情','认真']"
110103612724,1003462,5.0,主动热情|提前联系|主动搬运行李|耐心等候,"['感谢','周到','细致']"
110103612820,1003467,5.0,主动热情|提前联系|耐心等候,
110103612824,1003471,5.0,主动热情|提前联系|耐心等候,
110103616923,1003474,5.0,主动热情|提前联系|耐心等候,"['非常','满意','小','担心','一定','真心','感谢','感谢','来得','一定','一定']"
110103635769,1003491,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,"['非常','好','聊','到家','还','超级','棒','非常','窄','超级','棒','还','会','赞']"
110103671523,1003494,5.0,主动热情|文明礼貌|驾驶平稳|普通话流利|仪表整洁|干净整洁|车辆物资齐全|提前联系|主动搬运行李|耐心等候,
