userid,gender,province,age
100000009481,男,山东,60后
100000009491,女,广东,
100000009583,女,云南,
100000009611,,上海,
100000009743,,上海,70后
100000009771,,四川,
100000009773,,上海,
100000009807,男,福建,
100000009925,女,上海,
100000010101,女,北京,90后
100000010161,,北京,
100000010177,男,北京,
100000010199,,北京,
100000010239,男,河南,
100000010247,,北京,
100000010249,,上海,
100000010279,男,江苏,80后
100000010287,女,北京,
100000010293,女,北京,80后
100000010297,,浙江,
100000011105,,上海,
100000011131,女,北京,00后
100000011325,女,上海,70后
100000011427,,上海,
100000011573,,北京,
100000011591,,北京,
100000011653,,辽宁,
100000011741,男,江苏,80后
100000011755,女,上海,
100000011763,,湖北,
100000011845,,上海,
100000011933,,上海,
100000012027,女,上海,
100000012133,,山东,
100000012137,,北京,
100000012213,,上海,
100000012219,男,上海,
100000012235,女,浙江,
100000012277,,上海,
100000012341,,广东,
100000012367,女,浙江,
100000012405,男,四川,
100000012441,,江苏,
100000012507,男,四川,
100000012713,,福建,
100000012715,,上海,
100000012717,,上海,
100000012719,女,上海,60后
100000012793,,上海,
100000012867,男,贵州,80后
100000012885,女,江苏,
100000012889,,广东,
100000012931,,江苏,
100000012965,女,浙江,
100000012981,,北京,
100000013027,,北京,
100000013381,,天津,
100000013429,女,广东,
100000013461,,北京,
100000013471,男,四川,
100000013499,,广东,
100000013669,男,上海,
100000013673,,北京,
100000013837,,北京,
100000013965,男,重庆,
100000014029,女,上海,80后
100000014143,女,江苏,
100000014259,男,陕西,
100000014271,,广东,
100000014311,,河南,
100000014315,女,广东,
100000014383,,北京,
100000014421,,北京,
100000014423,,湖北,
100000014449,女,上海,
100000014641,,江苏,
100000014679,女,广东,60后
100000014745,女,重庆,
100000014865,,江苏,
100000014899,,上海,
100000014949,,上海,
100000014973,,北京,
100000014981,,北京,
100000015043,女,浙江,
100000015129,男,黑龙江,
100000015145,,北京,
100000015153,,上海,
100000015213,,上海,60后
100000015223,女,江苏,
100000015275,,上海,
100000015433,,湖北,
100000015475,,北京,
100000015747,,北京,
100000015791,,浙江,
100000015969,,上海,
100000016009,,上海,
100000016197,,上海,
100000016219,,浙江,
100000016265,女,北京,
100000016341,男,福建,
100000016351,,广东,
100000016391,,江苏,
100000016831,,北京,
100000016845,,湖南,
100000016861,,北京,
100000016987,,北京,
100000017177,,四川,
100000017277,,北京,
100000017281,,浙江,
100000017345,,北京,
100000017367,,浙江,
100000017465,,广东,
100000017469,,上海,
100000017505,男,浙江,70后
100000017691,,广东,
100000017693,,上海,
100000017965,,宁夏,
100000018097,女,重庆,
100000018117,,上海,
100000018123,男,北京,
100000018259,,天津,
100000018413,女,北京,80后
100000018417,,广东,
100000018629,,湖南,
100000018905,女,福建,60后
100000018941,男,广东,
100000018979,,重庆,
100000019251,,上海,
100000019375,,江苏,
100000019379,,重庆,
100000019487,男,北京,60后
100000019489,,四川,
100000019507,女,浙江,70后
100000019641,男,上海,
100000019697,女,上海,
100000019829,,重庆,
100000019999,,上海,
100000020007,,广东,
100000020017,,河南,
100000020019,,上海,
100000020061,,重庆,
100000020213,男,广东,
100000020277,男,广东,
100000020301,女,天津,
100000020393,,湖南,
100000020459,,广东,
100000020665,,北京,
100000020745,女,福建,
100000020809,男,河南,70后
100000020811,,河南,
100000020907,,上海,
100000020921,,上海,
100000020931,,江苏,
100000020995,女,北京,60后
100000021111,,上海,
100000021175,,广西,
100000021395,,上海,
100000021427,,上海,
100000021453,男,陕西,
100000021457,,四川,
100000021553,,上海,
100000021649,,浙江,
100000021659,,吉林,70后
100000021759,,上海,
100000021783,,江苏,
100000021809,,浙江,
100000021873,男,上海,
100000022129,,北京,
100000022335,,北京,
100000022357,,上海,
100000022389,女,辽宁,
100000022417,女,上海,
100000022481,女,四川,
100000022499,女,浙江,
100000022571,女,,
100000022651,男,浙江,
100000022677,,上海,
100000022761,,江西,
100000022773,,四川,
100000022801,男,北京,60后
100000022841,,上海,
100000022931,女,上海,80后
100000022963,男,甘肃,
100000023051,,北京,
100000023443,,北京,
100000023563,,北京,
100000023659,男,北京,
100000023915,男,上海,
110020371225,,上海,
110020471524,男,广东,70后
110020473123,女,四川,
110020671528,女,上海,
110020673328,,广东,
110020771524,,北京,
110020773124,,广东,
110100014168,男,上海,60后
110100014369,男,上海,90后
110100014466,男,广东,
110100014563,,上海,
110100016128,,北京,
110100016324,,北京,
110100016628,,,
110100016726,女,北京,
110100016828,,北京,
110100016928,,上海,
110100018268,女,,
110100018468,,北京,
110100018567,男,北京,
110100018764,,陕西,
110100033067,男,,
110100033863,,上海,
110100035569,女,新疆,70后
110100035669,,上海,
110100071228,,北京,
110100073229,女,上海,
110100073827,,广东,
110100116024,男,北京,
110100116027,女,广东,
110100116423,,广东,
110100116425,,江苏,
110100116429,,上海,
110100116920,男,北京,80后
110100118262,,广东,
110100118265,女,,80后
110100118669,,广东,
110100133065,男,,
110100135162,,上海,
110100135163,男,北京,
110100135560,女,北京,
110100135562,,北京,
110100135764,女,,
110100135767,,,
110100171021,男,北京,60后
110100171526,,北京,
110100173725,女,上海,
110100214160,,江西,
110100214261,,湖南,
110100214263,,江苏,
110100214268,,湖南,
110100214961,女,广东,
110100216329,,,
110100218568,,北京,
110100218569,女,福建,80后
110100218662,,北京,
110100218869,女,北京,
110100218963,,湖南,
110100233064,女,,
110100233069,,广东,
110100235564,,重庆,
110100273222,,辽宁,
110100273229,,北京,
110100273426,,山东,
110100273825,,上海,
110100316225,,山东,
110100316421,,上海,
110100316423,男,上海,70后
110100316824,,,
110100316920,,上海,
110100318867,,北京,
110100333066,男,北京,
110100333868,,广东,
110100335060,,广东,
110100335161,,,
110100335662,,福建,
110100335665,男,广东,
110100335769,,四川,
110100371225,,北京,
110100373124,女,陕西,
110100373323,男,北京,
110100373324,,北京,
110100373526,男,广东,90后
110100412420,女,,
110100416123,,上海,
110100416221,,广东,
110100416425,,北京,
110100418165,,湖北,
110100418369,,湖南,
110100433869,,北京,
110100435160,男,,
110100435463,,浙江,
110100435467,,上海,
110100435869,,上海,
110100471025,女,,
110100471223,,四川,
110100471225,,吉林,
110100473027,男,北京,
110100473524,男,,
110100473723,,北京,
110100473728,女,江苏,
110100512322,,福建,
110100512326,,重庆,
110100512625,男,北京,
110100512728,,湖北,
110100514160,,北京,
110100514164,,江苏,
110100514166,女,,
110100514169,男,浙江,
110100516026,,上海,
110100516222,,福建,
110100516323,女,上海,
110100516524,,上海,80后
110100516727,男,江苏,
110100516923,,北京,80后
110100516927,女,北京,
110100518068,女,北京,90后
110100518264,女,北京,
110100518265,,上海,
110100518665,,辽宁,
110100533768,,广东,
110100535060,女,上海,
110100535669,,上海,
110100535765,,天津,
110100535968,,宁夏,
110100571024,,广东,
110100571025,,北京,
110100573022,,北京,
110100573428,,北京,
110100573527,,上海,
110100612321,女,,
110100612826,,,
110100614162,,上海,
110100614260,,天津,
110100614366,,广东,
110100614963,,河北,
110100616528,女,浙江,
110100618264,,广东,
110100618563,,天津,
110100618567,,上海,
110100618863,女,,90后
110100618866,男,江苏,70后
110100633765,,上海,
110100633862,,辽宁,
110100635169,男,天津,
110100635261,,北京,
110100635661,,上海,
110100635662,女,北京,
110100635766,,辽宁,
110100673722,,北京,
110100712426,,上海,
110100712727,男,河南,70后
110100712925,,浙江,
110100716423,,上海,
110100718167,,辽宁,
110100718261,,上海,
110100718463,,北京,
110100733761,,上海,
110100733863,女,天津,80后
110100735067,,北京,
110100735363,男,广东,
110100735566,,上海,
110100735568,,北京,
110100773026,女,北京,
110100773229,,,
110100773324,,上海,
110100816124,,湖北,
110100816221,男,,
110100816329,,广东,
110100816527,女,上海,
110100816923,女,北京,
110100818061,,四川,
110100818564,女,上海,80后
110100818565,男,北京,
110100818662,,,
110100818965,,北京,
110100833064,,北京,
110100833863,,北京,
110100833868,,北京,
110100835563,女,,
110100835863,女,,
110100871523,,北京,
110100873726,,北京,
110100873822,男,上海,80后
110100873924,,上海,
110100873925,,陕西,
110100873926,,北京,
110100916925,,北京,
110100933064,,,
110100933861,,海南,
110100935065,女,北京,
110100935160,,天津,
110100935361,,广东,
110100935364,,四川,
110100935462,,北京,
110100935665,,北京,
110100935666,,陕西,
110100935964,,上海,
110100935966,,上海,
110100971224,女,广东,80后
110100971227,女,天津,
110100973127,女,上海,
110100973223,女,,70后
110100973325,,上海,
110100973623,,浙江,
110100973626,,广东,
110100973722,男,江苏,90后
110101012126,,福建,
110101012127,,,
110101012326,,上海,
110101012724,女,江苏,60后
110101012725,,北京,
110101012729,男,广东,
110101014163,男,广东,
110101014169,,四川,
110101014964,,北京,
110101016424,,江苏,
110101016425,,北京,
110101016528,,广东,
110101016824,,北京,
110101016826,,浙江,
110101018068,,上海,
110101018166,,,
110101018266,女,北京,70后
110101018269,,上海,
110101018565,男,浙江,
110101018666,,北京,
110101018760,,天津,
110101018762,女,北京,80后
110101018767,,北京,
110101018861,,北京,
110101018862,,上海,
110101018966,,上海,
110101035168,,湖南,
110101035260,,广东,
110101035367,,江苏,
110101071022,,北京,
110101071523,,,
110101073020,,广东,00后
110101073023,女,上海,60后
110101073129,,四川,80后
110101073221,,上海,
110101073325,男,北京,
110101073528,,北京,
110101073823,,北京,
110101073825,,广东,
110101073925,,浙江,
110101112421,女,浙江,
110101112526,女,广东,80后
110101112925,男,北京,
110101114263,,北京,
110101114268,,北京,
110101114362,,上海,
110101114365,,上海,
110101114961,,辽宁,
110101116023,,上海,
110101116426,,北京,
110101116626,,北京,
110101118364,,福建,
110101118462,,,
110101118767,男,,
110101118860,,广东,
110101133862,,,
110101133863,,云南,
110101135167,,江苏,
110101135461,,浙江,
110101135660,,上海,80后
110101135762,,上海,
110101135862,,江苏,
110101135965,,贵州,
110101173027,,广东,
110101173122,男,上海,
110101173321,,广东,
110101173324,男,,
110101173327,女,重庆,
110101173728,男,浙江,80后
110101173822,,辽宁,
110101210025,,北京,
110101210169,女,安徽,
110101210260,,江苏,
110101210262,,湖北,
110101210461,,江苏,
110101210462,,江苏,
110101210469,,北京,
110101210620,,广东,
110101210621,女,,
110101210722,,北京,
110101210926,,北京,
110101210967,,上海,
110101212129,,北京,
110101212165,,上海,
110101212225,女,江苏,60后
110101212324,,江苏,
110101212327,,四川,
110101212364,,广东,
110101212423,,山东,
110101212462,,湖北,
110101212561,女,广东,
110101212568,,北京,
110101212760,男,广东,
110101212820,,上海,
110101212921,男,北京,80后
110101212927,女,上海,
110101212928,,北京,
110101212961,,上海,
110101214060,,黑龙江,
110101214464,,上海,
110101214466,,上海,
110101214769,男,浙江,
110101214861,女,上海,
110101215320,,北京,80后
110101216027,,上海,
110101216163,,北京,
110101216425,,福建,
110101216521,,广东,
110101216522,女,黑龙江,90后
110101216524,男,北京,
110101216529,女,四川,80后
110101216628,女,上海,
110101217229,,北京,
110101217422,女,,
110101217621,,浙江,
110101217825,女,上海,
110101218660,,广东,
110101218664,,广东,
110101218668,,四川,
110101218766,,广东,
110101218863,,上海,
110101233068,,北京,
110101235060,,上海,
110101235165,,上海,
110101235269,女,,
110101235363,,北京,
110101235662,女,北京,
110101235761,,山东,
110101235962,,上海,
110101235965,女,北京,
110101235966,男,上海,80后
110101271227,,重庆,
110101273028,,上海,
110101273329,,陕西,
110101273429,,北京,
110101273529,,上海,
110101273620,,广东,
110101273722,,浙江,
110101273922,,广东,
110101312127,,上海,90后
110101312427,男,,
110101312428,,上海,
110101312724,,广东,
110101312728,男,北京,
110101312828,,北京,
110101314168,,上海,
110101314366,,广西,
110101314368,女,北京,70后
110101314469,,北京,
110101314964,,广东,
110101316220,,天津,
110101316229,,江苏,
110101316423,,河北,
110101316427,,黑龙江,80后
110101316627,女,上海,
110101316720,,陕西,
110101316729,男,上海,
110101316927,,北京,
110101318160,,江苏,
110101318163,,上海,
110101318266,,上海,
110101318465,,天津,
110101318665,,上海,
110101333767,,上海,
110101335266,,上海,
110101335269,女,上海,
110101335362,,浙江,
110101335462,男,北京,90后
110101335667,,广东,
110101335867,,天津,
110101335968,女,上海,80后
110101373028,,广东,
110101373220,,北京,
110101373225,,山东,
110101373227,男,广东,70后
110101373524,,北京,
110101373529,,北京,
110101373824,女,贵州,
110101410222,女,广东,
110101410323,,陕西,
110101410529,女,广东,
110101410726,,上海,
110101410826,男,上海,
110101410923,女,北京,
110101412525,,上海,
110101412527,,北京,
110101412620,,浙江,
110101412724,女,湖南,70后
110101412728,,江苏,
110101412929,,湖北,
110101414569,,北京,
110101416028,女,北京,
110101416126,,广东,
110101416320,,广东,80后
110101416621,女,广东,
110101416721,,北京,
110101416823,女,上海,80后
110101416924,,浙江,
110101416927,,广东,
110101418261,,上海,
110101418562,,江苏,
110101418567,,湖北,
110101418660,,上海,
110101418968,女,江西,
110101435069,,上海,
110101435464,,上海,
110101435960,男,浙江,80后
110101471028,,北京,
110101471220,,上海,
110101471522,,广东,
110101473121,,上海,
110101473124,,上海,
110101473127,,吉林,
110101473429,女,四川,
110101473723,,上海,
110101510262,,北京,
110101512120,,湖南,
110101512121,,天津,
110101512129,,广西,
110101512321,男,江西,
110101512325,,上海,60后
110101512727,,,
110101512927,,广东,
110101514162,,北京,
110101514165,,北京,
110101514562,,山东,
110101514861,,北京,
110101516029,女,上海,
110101516321,,河南,
110101516326,,北京,
110101516521,,广东,
110101516623,,,
110101516627,,上海,
110101516728,,四川,
110101516823,,重庆,
110101518268,女,北京,
110101518464,,上海,
110101518562,,上海,
110101518665,女,上海,
110101518767,,陕西,
110101518966,男,重庆,
110101533062,,广东,
110101533769,,上海,
110101533865,,北京,
110101535067,,广东,
110101535368,,浙江,
110101535567,,山东,
110101535662,男,上海,
110101535960,,浙江,
110101535969,女,江苏,90后
110101571222,,上海,
110101571227,男,上海,70后
110101571523,,北京,
110101571527,,北京,
110101573228,,江苏,
110101573520,,江西,
110101573629,女,上海,
110101573822,,北京,
110101573825,,北京,
110101573827,,上海,
110101573924,,江苏,
110101610020,,陕西,
110101610267,,北京,
110101610321,,广东,
110101610464,男,上海,70后
110101610529,,辽宁,
110101610623,,江苏,80后
110101610722,,北京,70后
110101610725,,北京,
110101610924,,湖北,
110101612223,男,四川,80后
110101612260,,四川,
110101612328,,四川,
110101612362,,浙江,
110101612364,女,贵州,
110101612421,,北京,
110101612424,女,浙江,
110101612425,,北京,
110101612427,男,陕西,
110101612464,,广东,
110101612622,,江苏,
110101612760,,上海,
110101612767,男,,
110101612962,,,
110101612966,女,浙江,
110101614127,,,
110101614364,女,浙江,90后
110101614761,,云南,
110101614762,,江苏,
110101615029,,四川,
110101615429,,北京,
110101615825,,上海,
110101615827,女,浙江,70后
110101616060,女,,
110101616063,女,上海,80后
110101616128,,北京,
110101616129,,上海,
110101616262,,上海,
110101616264,,山西,
110101616321,,湖北,
110101616329,女,江苏,90后
110101616464,女,北京,
110101616522,,北京,
110101616528,女,北京,80后
110101616563,,广东,
110101616565,,上海,
110101616663,女,,
110101616721,,上海,
110101616828,,上海,
110101617025,,上海,
110101617428,,北京,
110101617728,,浙江,
110101618167,,浙江,
110101618260,,江苏,
110101618267,,上海,
110101618269,,山东,
110101635063,,山东,
110101635265,,广东,
110101635269,,上海,
110101635362,女,上海,
110101635660,,,
110101635662,,浙江,
110101635666,,陕西,
110101635863,,上海,
110101635866,女,安徽,70后
110101635961,,广东,
110101673020,,浙江,
110101673026,男,浙江,80后
110101673127,,上海,
110101673222,,安徽,
110101673228,,北京,
110101673321,,浙江,
110101673422,女,北京,
110101673522,女,上海,90后
110101673723,女,上海,90后
110101673827,,江苏,
110101710127,,上海,
110101710128,,四川,
110101710325,,上海,80后
110101710423,,江苏,
110101710721,,安徽,
110101712429,,上海,
110101712620,,重庆,
110101714167,女,上海,
110101714169,,北京,
110101714263,,北京,
110101714360,男,北京,80后
110101714560,,江苏,
110101714960,,北京,
110101716021,,北京,
110101716822,,重庆,
110101716828,,北京,
110101718068,,浙江,
110101718161,,江苏,
110101718168,,北京,
110101718169,,辽宁,
110101718568,女,浙江,
110101718662,女,北京,
110101718760,,山东,
110101733860,,北京,
110101733867,,,90后
110101733868,,广东,
110101735062,,上海,
110101735669,,上海,
110101735766,,上海,
110101771521,,北京,
110101773023,女,四川,
110101773227,男,北京,
110101773522,,北京,
110101810163,,北京,
110101810167,,江苏,
110101810168,,广东,
110101810267,,山东,
110101810361,男,江苏,90后
110101810363,,广东,
110101812321,女,上海,70后
110101812427,,江苏,
110101812824,女,江苏,80后
110101814061,,,
110101814067,,上海,
110101814767,女,北京,
110101814768,,北京,
110101814860,,上海,
110101814862,女,,70后
110101814865,,北京,
110101814967,男,福建,
110101816027,,重庆,
110101816220,,上海,
110101816223,,北京,
110101816420,,上海,
110101816529,女,福建,80后
110101818162,女,广东,80后
110101818361,,上海,
110101818768,,四川,
110101833065,,,
110101833869,,四川,
110101835062,,四川,
110101835266,女,上海,70后
110101835468,,江西,
110101835564,,上海,
110101835569,,四川,80后
110101835960,男,湖北,90后
110101873123,,贵州,
110101873126,男,江苏,80后
110101873228,男,北京,
110101873321,,重庆,
110101873624,男,上海,
110101912120,,上海,
110101912129,,重庆,
110101912226,,海南,
110101912528,,北京,70后
110101912627,,广东,
110101912629,男,北京,80后
110101912822,,上海,
110101912825,女,上海,
110101912922,男,重庆,70后
110101914063,,北京,
110101914168,,北京,
110101914169,,上海,
110101914361,,浙江,
110101914561,,,
110101914569,,上海,
110101914968,,上海,
110101916723,,上海,
110101916729,,上海,
110101916823,,上海,
110101918161,,北京,
110101918461,,辽宁,
110101918564,女,天津,
110101918567,,北京,
110101918860,,上海,
110101918861,男,北京,80后
110101935266,,北京,
110101935465,,上海,
110101971228,,浙江,
110101973024,男,福建,
110101973120,男,浙江,80后
110101973123,,浙江,
110101973221,女,上海,80后
110101973421,男,广东,
110101973429,,四川,
110101973524,,广东,
110101973823,,浙江,
110101973922,,辽宁,
110102012123,,上海,
110102012125,,广东,
110102012329,,广东,
110102012522,,广东,
110102012625,男,广东,00后
110102012728,,,
110102012823,,江苏,
110102016229,,河南,
110102016429,,北京,
110102016521,,北京,80后
110102016721,女,江西,90后
110102016727,,山西,
110102016923,女,北京,
110102016929,,,
110102018162,,陕西,
110102018267,女,,
110102033866,,浙江,80后
110102035366,,北京,
110102035969,,上海,
110102073220,女,北京,70后
110102073221,,广东,
110102073423,男,山西,80后
110102073620,,江苏,70后
110102112221,,广东,
110102112321,,江苏,
110102112420,,湖南,
110102112423,,上海,
110102112624,,北京,
110102112726,,广东,
110102112920,,浙江,
110102112925,,上海,
110102116223,,四川,
110102116321,,上海,
110102116327,,北京,
110102116724,男,北京,
110102116926,,江苏,
110102118363,,江苏,
110102118660,,上海,
110102118963,,湖南,
110102135361,,广东,
110102171025,,上海,
110102173122,,上海,
110102173429,男,北京,80后
110102173926,,江苏,
110102212724,,北京,80后
110102212827,,贵州,
110102214468,,北京,
110102216020,,,
110102216221,男,四川,70后
110102216925,男,江苏,80后
110102216927,,,
110102216928,,湖北,
110102218266,,北京,
110102218364,,北京,
110102218963,男,,80后
110102233866,女,上海,
110102235162,,天津,
110102235466,,,
110102235660,女,,80后
110102235762,女,浙江,
110102271022,,山西,
110102271024,男,江苏,
110102271223,,北京,
110102271224,,上海,
110102273125,,广东,
110102273421,,上海,
110102273628,,北京,
110102273726,,浙江,
110102273920,女,北京,
110102310123,女,江苏,
110102310322,,上海,
110102312221,,上海,
110102312225,女,上海,
110102312527,,广东,
110102312623,,上海,
110102312727,,,
110102312928,,上海,
110102316129,,,
110102316623,,北京,
110102316927,,内蒙古,
110102318064,,上海,
110102318666,,湖北,
110102318762,,湖南,70后
110102318767,女,黑龙江,
110102318769,,陕西,
110102318865,,黑龙江,
110102333864,,上海,
110102333865,,江苏,
110102335069,,上海,
110102335168,,贵州,
110102335262,,北京,
110102335366,,广东,
110102335762,,北京,
110102335765,男,北京,80后
110102371028,,北京,
110102371224,女,广东,90后
110102373022,,北京,
110102373224,女,北京,
110102373423,,山西,
110102373628,,江苏,90后
110102373822,,上海,90后
110102373927,,上海,
110102414164,,北京,
110102414168,女,,
110102416120,,北京,90后
110102416426,,上海,
110102416820,,江西,
110102416920,女,广西,80后
110102416921,,上海,
110102433761,,广东,
110102435365,,辽宁,
110102435969,,江苏,
110102471020,,上海,
110102471027,男,,90后
110102471526,,上海,
110102471529,女,,
110102473022,男,,
110102473123,,重庆,
110102473126,男,江苏,00后
110102473221,女,上海,
110102473321,,江苏,
110102473523,男,四川,80后
110102473622,,江苏,
110102473724,,北京,
110102473829,,北京,
110102473921,男,上海,70后
110102512322,男,天津,70后
110102512720,,上海,
110102514265,,浙江,
110102516029,女,,
110102516127,男,北京,
110102516129,,北京,
110102516722,,北京,
110102516928,女,广东,90后
110102518160,,江苏,
110102518263,,四川,
110102518269,,,
110102518366,,广东,
110102518560,女,,80后
110102518765,,浙江,
110102535267,,上海,
110102535367,,北京,
110102535962,,北京,
110102571222,,上海,
110102571226,男,北京,
110102573123,,广东,
110102573126,,北京,
110102573127,,江苏,
110102573322,女,上海,
110102573423,男,陕西,70后
110102573723,,陕西,
110102573824,女,江苏,80后
110102573829,,江苏,
110102612324,,上海,
110102612327,,北京,
110102614165,,,
110102614267,,北京,
110102614268,,广东,
110102614369,,北京,
110102614464,男,广东,
110102614966,,北京,
110102616020,,,
110102616221,,广西,
110102616628,,北京,
110102633068,女,,
110102633869,,上海,
110102635065,,江苏,
110102635664,,北京,
110102673120,女,上海,
110102673123,男,广东,
110102673221,,贵州,
110102673420,男,江苏,
110102673421,,北京,
110102673423,,北京,
110102673425,,北京,
110102673920,,广东,
110102712721,男,江苏,90后
110102712725,,浙江,
110102714267,,北京,
110102714560,,上海,
110102714566,,福建,
110102716022,男,上海,80后
110102716520,,上海,
110102716628,,北京,
110102716820,,上海,
110102716823,男,上海,70后
110102716828,,上海,
110102716929,,北京,
110102718064,,广东,
110102718168,,北京,
110102718368,,广东,
110102718461,女,,
110102718466,女,浙江,
110102718660,,上海,
110102718666,,河南,
110102718668,,广东,
110102718863,,广东,
110102718968,,上海,
110102733061,,广东,
110102733868,女,,
110102735064,男,上海,
110102735465,男,北京,90后
110102735661,,重庆,
110102771028,,,
110102771029,男,福建,80后
110102771220,,江苏,
110102773026,,广东,
110102773127,,江苏,
110102773325,,江苏,
110102773628,,广东,
110102773720,,上海,
110102773820,,广西,
110102812320,,湖北,
110102812428,,北京,
110102812621,,河南,
110102812624,,广东,
110102812627,女,广东,
110102812724,男,浙江,80后
110102814363,,广东,
110102814560,女,北京,
110102814562,,北京,
110102816026,,上海,
110102816326,,江苏,
110102816425,,广东,
110102816426,,上海,
110102816429,,天津,
110102816620,,北京,
110102816625,,上海,
110102816921,,上海,
110102818160,,上海,
110102818167,,,
110102818569,,,
110102818861,,北京,70后
110102833063,,浙江,
110102835163,,四川,
110102835261,,北京,
110102835766,男,上海,70后
110102871025,,上海,
110102871229,,北京,
110102871523,,广东,
110102873024,,上海,
110102873025,,上海,
110102873229,,上海,
110102873321,,上海,
110102873623,,湖北,
110102873627,,四川,
110102873820,,上海,
110102873829,,湖北,
110102912124,,四川,
110102912421,女,上海,
110102912721,,北京,
110102912724,女,上海,
110102912828,女,,
110102912923,,上海,80后
110102912926,,上海,
110102916021,女,北京,
110102916027,,北京,
110102916320,男,北京,80后
110102916425,女,北京,
110102916623,男,上海,90后
110102916723,男,辽宁,
110102916922,男,江苏,70后
110102916928,女,北京,
110102918763,,北京,
110102933069,,江苏,
110102933765,,云南,
110102933769,,江苏,
110102933862,,广东,
110102935764,,天津,
110102935869,,广东,
110102971022,,北京,90后
110102971225,女,广东,80后
110102973024,,湖南,
110102973026,,北京,
110102973027,,北京,
110102973029,,湖北,
110102973121,,北京,80后
110102973524,,上海,
110102973622,男,广东,
110103010120,,上海,
110103010425,,江苏,70后
110103010726,女,,
110103012226,,江苏,
110103012620,,广西,
110103012626,,广西,
110103012628,,上海,
110103012724,女,上海,
110103012925,,北京,
110103012926,,湖北,
110103014161,,北京,
110103014162,,北京,
110103014364,,江苏,
110103014960,,江西,
110103014962,,北京,
110103016021,,广东,
110103016321,,江苏,
110103016325,,北京,
110103016425,,上海,
110103016720,,上海,
110103016725,,江苏,
110103018268,,北京,
110103018361,,北京,
110103018467,,江苏,
110103018760,,北京,
110103035263,,江苏,
110103035265,,上海,
110103035365,,江苏,
110103035466,,四川,
110103035469,,,
110103035961,,北京,
110103071023,,北京,
110103073021,,,
110103073023,,江苏,
110103073422,,上海,
110103073520,女,上海,
110103073922,,广东,
110103073925,,上海,
110103112124,,北京,
110103112726,男,北京,70后
110103114568,,上海,
110103114964,,上海,
110103116127,,广东,
110103116220,女,北京,
110103116429,,河北,
110103116721,,上海,
110103116726,,,
110103118060,,,
110103118167,,江苏,70后
110103118569,,湖北,
110103118767,,上海,
110103118867,,北京,
110103118964,,,
110103133760,,广东,
110103133866,,广东,
110103133868,,云南,
110103135068,,北京,
110103135261,,浙江,
110103135267,女,上海,80后
110103135464,,上海,
110103135567,,北京,
110103135866,,浙江,80后
110103135964,,北京,
110103171224,男,广西,
110103171529,女,广东,
110103173124,,重庆,
110103173229,,上海,
110103173422,,四川,
110103173522,女,天津,80后
110103173623,,上海,
110103173821,,,
110103210326,男,广东,
110103212020,,上海,
110103212126,,,
